Name,Institution,Department,Discipline,Research Specializations,Unnamed: 5,Unnamed: 6,City,Country,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Location,Category,Region,Latitude,Longitude
Ramzy Kahhat,Pontificia Universidad Catolica del Peru,Departamento de Ingeniería; PELCAN (Peruvian Life Cycle Assessment and Industrial Ecology Network),Engineering,Life Cycle Assessment,Industrial Ecology,Waste Management,Lima,Peru,,,,,,,,Lima,Alliance Member,Latin America and the Caribbean,-12.0459808,-77.0305912
Rev. Prof. Ferdinand Muhigirwa Rusembuka SJ,Université Loyola du Congo,,Theology & Religious Studies,,,,Kinshasa,Democratic Republic of Congo,,,,,,,,Kinshasa,Alliance Member,Africa,-4.469507838,15.30173956
Rev. Prof. Joshtrom Kureethadam SDB,Pontificia Università Salesiana,Institute of Social and Political Sciences,Philosophy & Ethics,Care for Creation,Laudato Si',Philosophy of Science,Rome,Italy,,,,,,,,Rome,Alliance Member,Europe,41.8933203,12.4829321
Sophie Calmé,Universite de Sherbrooke,Département de biologie,Biology & Ecology,Conservation Ecology,Global Change Ecology,Human-Wildlife Relationships,Sherbrooke,Canada,,,,,,,,Sherbrooke,Alliance Member,North America,45.403271,-71.889038
Sophie Izoard-Allaux,Universite Catholique de Lille,Faculté de Théologie,Theology & Religious Studies,Social Morality,Integral Ecology,Political Ethics,Lille,France,,,,,,,,Lille,Alliance Member,Europe,50.6365654,3.0635282
Spencer S. Stober,Alvernia University,"College of Innovation, Discovery, and Enterprise","Biology & Ecology
Environmental & Sustainability Studies",Sustainable Communities,Environmental Sustainability,Emerging Technologies,Reading,United States,,,,,,,,Reading,Alliance Member,North America,40.335345,-75.9279495
Sr. Damien Marie Savino,University of Notre Dame,Department of Civil and Environmental Engineering and Earth Sciences,"Engineering
Theology & Religious Studies",Integral Ecology,Engineering Design,Ecology and Theology,South Bend,United States,,,,,,,,South Bend,Alliance Member,North America,41.6833813,-86.2500066
Susan Lourdes Leliss Santillan Butron,Universidad Católica Boliviana San Pablo,,"Education
Business & Management",,,,La Paz,Bolivia,,,,,,,,La Paz,Alliance Member,Latin America and the Caribbean,-16.4955455,-68.1336229
Susan Pan,Boston College,Department of Engineering (joint with Environmental Studies Program),"Earth & Environmental Sciences
Engineering",Geospatial Data Science,Machine Learning,Water Security,Boston,United States,,,,,,,,Boston,Alliance Member,North America,42.3588336,-71.0578303
Tanya Hayes,Seattle University,Department of Public Affairs and Nonprofit Leadership / Environment and Sustainability Program,"Development Studies
Political Science & Policy",Environmental Governance,Community Resource Management,Institutional Analysis,Seattle,United States,,,,,,,,Seattle,Alliance Member,North America,47.6038321,-122.330062
Thierry Ngosso,Institut Catholique de Yaounde,Philosophy Department,"Philosophy & Ethics
Political Science & Policy",Human Rights,Social Justice,Climate Change,Yaounde,Cameroon,,,,,,,,Yaounde,Alliance Member,Africa,3.8689867,11.5213344
Tracy Kijewski-Correa,University of Notre Dame,Pulte Institute for Global Development,Engineering,Disaster Risk Reduction,Hazard Resilience,Resilient Communities,South Bend,United States,,,,,,,,South Bend,Alliance Member,North America,41.6833813,-86.2500066
Vidfa Carolina Garvizu Auza,Universidad Católica Boliviana San Pablo,"CINAES - Centro de Investigación en Agua, Energía y Sostenibilidad","Engineering
Environmental & Sustainability Studies",Water Treatment,Water Management,Energy,La Paz,Bolivia,,,,,,,,La Paz,Alliance Member,Latin America and the Caribbean,-16.4955455,-68.1336229
Willem de Witte,Radboud University,Laudato si' Institute,"Philosophy & Ethics
Environmental & Sustainability Studies",Integral Ecology,Theology,,Nijmegen,Netherlands,,,,,,,,Nijmegen,Alliance Member,Europe,51.8425749,5.8389606
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
